id,timestamp,station_name,latitude,longitude
1571105050820616194,2021-08-31T05:05:35Z,Central Ave & Roscoe St,41.942258,-87.766933
1571105050820616196,2021-08-31T05:05:35Z,Narragansett Ave & School St,41.940128,-87.786481
1571105055115583496,2021-08-31T05:05:35Z,Long & Irving Park,41.953038,-87.762163
1571105055115583500,2021-08-31T05:05:35Z,Roscoe & Harlem,41.941606,-87.807296
1571105059410550802,2021-08-31T05:05:35Z,Plainfield & Irving Park,41.952441,-87.83431
1571105063705518106,2021-08-31T05:05:35Z,Meade Ave & Addison St,41.945917,-87.778882
157,2021-08-31T05:05:35Z,DuSable Lake Shore Dr & Wellington Ave,41.936688,-87.636829
1575949510978564828,2021-08-31T05:05:35Z,North Ave & New England Ave,41.90922,-87.797141
158,2021-08-31T05:05:35Z,Milwaukee Ave & Wabansia Ave,41.912616,-87.681391
159,2021-08-31T05:05:35Z,Claremont Ave & Hirsch St,41.907781,-87.685854
160,2021-08-31T05:05:35Z,Campbell Ave & North Ave,41.910535,-87.689556
161,2021-08-31T05:05:35Z,Rush St & Superior St,41.895765,-87.625908
16,2021-08-31T05:05:35Z,Paulina Ave & North Ave,41.909855,-87.66993
162,2021-08-31T05:05:35Z,Damen Ave & Wellington Ave,41.93588,-87.67842
163,2021-08-31T05:05:35Z,Damen Ave & Clybourn Ave,41.931931,-87.677856
164,2021-08-31T05:05:35Z,Franklin St & Lake St,41.885837,-87.6355
165,2021-08-31T05:05:35Z,Clark St & Grace St,41.95078,-87.659172
166,2021-08-31T05:05:35Z,Ashland Ave & Wrightwood Ave,41.92883,-87.668507
167,2021-08-31T05:05:35Z,Damen Ave & Coulter St,41.8492,-87.67564
168,2021-08-31T05:05:35Z,Michigan Ave & 14th St,41.864059,-87.623727
169,2021-08-31T05:05:35Z,Canal St & Harrison St,41.874255,-87.639573
170,2021-08-31T05:05:35Z,Clinton St & 18th St,41.85795,-87.640826
171,2021-08-31T05:05:35Z,May St & Cullerton St,41.855136,-87.654127
17,2021-08-31T05:05:35Z,Honore St & Division St,41.903119,-87.673935
172,2021-08-31T05:05:35Z,Rush St & Cedar St,41.902309,-87.627691
173,2021-08-31T05:05:35Z,Mies van der Rohe Way & Chicago Ave,41.89691,-87.621743
174,2021-08-31T05:05:35Z,Canal St & Madison St,41.882091,-87.639833
175,2021-08-31T05:05:35Z,Wells St & Polk St,41.872596,-87.633501999999993
176,2021-08-31T05:05:35Z,Clark St & Elm St,41.902973,-87.63128
177,2021-08-31T05:05:35Z,Theater on the Lake,41.926277,-87.630834
178,2021-08-31T05:05:35Z,State St & 19th St,41.856594,-87.627542
179,2021-08-31T05:05:35Z,MLK Jr Dr & Pershing Rd,41.8246,-87.61678
180,2021-08-31T05:05:35Z,Ritchie Ct & Banks St,41.906866,-87.626217
181,2021-08-31T05:05:35Z,LaSalle St & Illinois St,41.890762,-87.631697
18,2021-08-31T05:05:35Z,Wacker Dr & Washington St,41.883253,-87.636513
182,2021-08-31T05:05:35Z,Wells St & Elm St,41.903222,-87.634324
